case,time_msec,tvd
1,958.688,0.54
1,1138.575104,0.524
1,1396.602112,0.48
1,1970.13504,0.514
1,3483.389952,0.524
1,5671.934208,0.519
1,10777.74515,0.5337
1,15038.25306,0.52673
1,20794.94298,0.52045
1,24501.1689,0.5332
1,48696.11085,0.52894
1,104341.3312,0.53042
1,149047.967,0.53139
1,192515.8121,0.52831
1,252445.4031,0.52948
2,798.11712,0.2
2,1099.220224,0.5
2,1327.147008,0.306
2,1845.72416,0.243
2,3281.539072,0.2524
2,5638.57408,0.2608
2,10545.14611,0.2477
2,15071.9319,0.23393
2,19101.35091,0.22885
2,23853.57696,0.24728
2,48523.38611,0.23702
2,96601.49325,0.2428
2,141897.4159,0.23951
2,197614.7169,0.24244
2,250815.5351,0.24249
3,842.895104,2
3,1128.928,1.992
3,1408.880896,1.9779
3,1989.223936,1.9841
3,3852.815104,1.9843
3,6005.513984,1.9859
3,10913.29818,1.984
3,15315.10298,1.9827
3,19802.8951,1.9813
3,24749.74106,1.9834
3,50288.576,1.9829
3,93688.88602,1.9828
3,157041.3911,1.983
3,208961.76,1.9823
3,255205.472,1.9827
4,1059.559168,1.9787
4,1358.392064,1.9388
4,1634.747136,1.9308
4,2220.16512,1.9338
4,3839.842048,1.9395
4,6834.12992,1.934
4,11579.09299,1.9327
4,18681.51987,1.9399
4,22391.30906,1.9407
4,27721.80992,1.9382
4,58167.42298,1.9399
4,112003.4271,1.9381
4,168949.0378,1.9398
4,226963.4391,1.9391
4,282118.1829,1.9389
