case,time_msec,voi_sum_sq_diff
1,6000,87862.92233
1,12000,75280.28037
1,18000,69226.32914
1,24000,65255.81212
1,30000,62704.85273
1,36000,61358.20006
1,42000,60275.19798
1,48000,57701.58969
1,54000,53899.08022
1,60000,51008.23693
2,6000,53272.49329
2,12000,46438.58224
2,18000,42569.4327
2,24000,46475.14705
2,30000,47028.59401
2,36000,44237.13463
2,42000,42403.06689
2,48000,41190.87674
2,54000,40087.13534
2,60000,39275.656
3,6000,138804.1168
3,12000,96348.22658
3,18000,78235.47054
3,24000,84260.15183
3,30000,81680.17062
3,36000,77321.95121
3,42000,74516.82425
3,48000,72546.53078
3,54000,70163.82532
3,60000,69028.94285
4,6000,396933.2261
4,12000,243527.9534
4,18000,203534.7208
4,24000,176658.9719
4,30000,156025.0225
4,36000,145316.6682
4,42000,143187.2232
4,48000,138629.014
4,54000,135175.8931
4,60000,131836.0094
