doc,time_msec,sum_abs_diff
1,958.688,0.54
1,1138.575104,0.524
1,1396.602112,0.48
1,1970.13504,0.514
1,3483.389952,0.524
1,5671.934208,0.519
1,10777.74515,0
1,15038.25306,0
1,20794.94298,0
2,798.11712,0.2
2,1099.220224,0.5
2,1327.147008,0.306
2,1845.72416,0.243
2,3281.539072,0.2524
2,5638.57408,0.2608
2,10545.14611,0
2,15071.9319,0
2,19101.35091,0
3,842.895104,2
3,1128.928,1.992
3,1408.880896,1.9779
3,1989.223936,1.9841
3,3852.815104,1.9843
3,6005.513984,1.9859
3,10913.29818,0
3,15315.10298,0
3,19802.8951,0
4,1059.559168,1.9787
4,1358.392064,1.9388
4,1634.747136,1.9308
4,2220.16512,1.9338
4,3839.842048,1.9395
4,6834.12992,1.934
4,11579.09299,1.9327
4,18681.51987,1.9399
4,22391.30906,1.9407
5,842.895104,2
5,1128.928,1.992
5,1408.880896,1.9779
5,1989.223936,1.9841
5,3852.815104,0
5,6005.513984,0
5,10913.29818,0
5,15315.10298,0
5,19802.8951,0
