test_doc,time_msec,ham_dist
1,958.688,12
1,1138.575104,12
1,1396.602112,10
1,1970.13504,12
1,3483.389952,8
1,5671.934208,9
1,10777.74515,5
1,15038.25306,5
1,20794.94298,5
2,798.11712,20
2,1099.220224,19
2,1327.147008,19
2,1845.72416,12
2,3281.539072,10
2,5638.57408,9
2,10545.14611,9
2,15071.9319,9
2,19101.35091,9
3,842.895104,19
3,1128.928,17
3,1408.880896,10
3,1989.223936,10
3,3852.815104,8
3,6005.513984,10
3,10913.29818,10
3,15315.10298,10
3,19802.8951,10
4,1059.559168,12
4,1358.392064,12
4,1634.747136,10
4,2220.16512,12
4,3839.842048,8
4,6834.12992,9
4,11579.09299,5
4,18681.51987,5
4,22391.30906,5
5,842.895104,12
5,1128.928,12
5,1408.880896,10
5,1989.223936,12
5,3852.815104,8
5,6005.513984,9
5,10913.29818,5
5,15315.10298,5
5,19802.8951,5
